GeneID_mouse	GeneSymbol_mouse	GeneID_human	GeneSymbol_human
ENSMUSG00000024570	Rbfa	ENSG00000101546	RBFA
ENSMUSG00000001150	Mcm3ap	ENSG00000160294	MCM3AP
ENSMUSG00000066877	Nck2	ENSG00000071051	NCK2
ENSMUSG00000034456	Uroc1	ENSG00000159650	UROC1
ENSMUSG00000042408	Zmym6	ENSG00000163867	ZMYM6
ENSMUSG00000029635	Cdk8	ENSG00000132964	CDK8
ENSMUSG00000030706	Mrpl48	ENSG00000175581	MRPL48
ENSMUSG00000028552	Eps15	ENSG00000085832	EPS15
ENSMUSG00000033781	Asb13	ENSG00000196372	ASB13
ENSMUSG00000030798	Cd37	ENSG00000104894	CD37
ENSMUSG00000068114	Ccdc134	ENSG00000100147	CCDC134
ENSMUSG00000024927	Rela	ENSG00000173039	RELA
ENSMUSG00000033009	Ogfod1	ENSG00000087263	OGFOD1
ENSMUSG00000016833	Mrps18c	ENSG00000163319	MRPS18C
ENSMUSG00000029177	Cenpa	ENSG00000115163	CENPA
ENSMUSG00000025340	Rabgef1	ENSG00000154710	RABGEF1
ENSMUSG00000025340	Rabgef1	ENSG00000284461	
ENSMUSG00000037405	Icam1	ENSG00000090339	ICAM1
ENSMUSG00000052707	Tnrc6a	ENSG00000090905	TNRC6A
ENSMUSG00000059278	Naa38	ENSG00000183011	NAA38
ENSMUSG00000029097	Trmt44	ENSG00000155275	TRMT44
ENSMUSG00000032555	Topbp1	ENSG00000163781	TOPBP1
ENSMUSG00000021209	Ppp4r4	ENSG00000119698	PPP4R4
ENSMUSG00000045776	Lrtm1	ENSG00000144771	LRTM1
ENSMUSG00000031776	Arl2bp	ENSG00000102931	ARL2BP
ENSMUSG00000058881	Zfp516	ENSG00000101493	ZNF516
ENSMUSG00000030008	Pradc1	ENSG00000135617	PRADC1
ENSMUSG00000070730	Rmdn3	ENSG00000137824	RMDN3
ENSMUSG00000033124	Atg9a	ENSG00000284820	
ENSMUSG00000033124	Atg9a	ENSG00000198925	ATG9A
ENSMUSG00000030096	Slc6a6	ENSG00000131389	SLC6A6
ENSMUSG00000039231	Suv39h1	ENSG00000101945	SUV39H1
ENSMUSG00000027394	Ttl	ENSG00000114999	TTL
ENSMUSG00000075486	Commd6	ENSG00000188243	COMMD6
ENSMUSG00000018442	Derl2	ENSG00000072849	DERL2
ENSMUSG00000039242	B3galnt2	ENSG00000162885	B3GALNT2
ENSMUSG00000036676	Tmtc3	ENSG00000139324	TMTC3
ENSMUSG00000030203	Dusp16	ENSG00000111266	DUSP16
ENSMUSG00000042978	Sbk1	ENSG00000188322	SBK1
ENSMUSG00000078798	Sult2a1	ENSG00000105398	SULT2A1
ENSMUSG00000034438	Gbp8	ENSG00000183347	GBP6
ENSMUSG00000053329	Gatd3a	ENSG00000160221	GATD3A
ENSMUSG00000027889	Ampd2	ENSG00000116337	AMPD2
ENSMUSG00000033799	Tasor2	ENSG00000108021	TASOR2
ENSMUSG00000031198	Fundc2	ENSG00000165775	FUNDC2
ENSMUSG00000040620	Dhx33	ENSG00000005100	DHX33
ENSMUSG00000002845	Tmem39a	ENSG00000176142	TMEM39A
ENSMUSG00000039087	Rreb1	ENSG00000124782	RREB1
ENSMUSG00000067813	Xkr9	ENSG00000221947	XKR9
ENSMUSG00000056999	Ide	ENSG00000119912	IDE
ENSMUSG00000074361	C5ar2	ENSG00000134830	C5AR2
ENSMUSG00000032194	Kank2	ENSG00000197256	KANK2
ENSMUSG00000003299	Mrpl4	ENSG00000105364	MRPL4
ENSMUSG00000047810	Ccdc88b	ENSG00000168071	CCDC88B
ENSMUSG00000056665	Them6	ENSG00000130193	THEM6
ENSMUSG00000078619	Smarcd2	ENSG00000108604	SMARCD2
ENSMUSG00000046070	Igfals	ENSG00000099769	IGFALS
ENSMUSG00000015337	Endog	ENSG00000167136	ENDOG
ENSMUSG00000046916	Myct1	ENSG00000120279	MYCT1
ENSMUSG00000041642	Kif21b	ENSG00000116852	KIF21B
ENSMUSG00000023791	Pigx	ENSG00000163964	PIGX
ENSMUSG00000020137	Thap2	ENSG00000173451	THAP2
ENSMUSG00000024182	Axin1	ENSG00000103126	AXIN1
ENSMUSG00000066278	Vps37b	ENSG00000139722	VPS37B
ENSMUSG00000040690	Col16a1	ENSG00000084636	COL16A1
ENSMUSG00000039158	Akna	ENSG00000106948	AKNA
ENSMUSG00000057191	AB124611	ENSG00000214212	C19orf38
ENSMUSG00000002833	Hdgfl2	ENSG00000167674	HDGFL2
ENSMUSG00000022791	Tnk2	ENSG00000061938	TNK2
ENSMUSG00000021737	Psmd6	ENSG00000163636	PSMD6
ENSMUSG00000021188	Trip11	ENSG00000100815	TRIP11
ENSMUSG00000038208	Pgap3	ENSG00000161395	PGAP3
ENSMUSG00000002625	Akap8l	ENSG00000011243	AKAP8L
ENSMUSG00000042426	Dhx29	ENSG00000067248	DHX29
ENSMUSG00000018920	Cxcl16	ENSG00000161921	CXCL16
ENSMUSG00000032561	Acpp	ENSG00000014257	ACPP
ENSMUSG00000042043	Tbca	ENSG00000171530	TBCA
ENSMUSG00000022789	Dnm1l	ENSG00000087470	DNM1L
ENSMUSG00000094870	Zfp131	ENSG00000172262	ZNF131
ENSMUSG00000028563	Tm2d1	ENSG00000162604	TM2D1
ENSMUSG00000000093	Tbx2	ENSG00000121068	TBX2
ENSMUSG00000037902	Sirpa	ENSG00000198053	SIRPA
ENSMUSG00000003464	Pex19	ENSG00000162735	PEX19
ENSMUSG00000003464	Pex19	ENSG00000258465	
ENSMUSG00000074272	Ceacam1	ENSG00000079385	CEACAM1
ENSMUSG00000074272	Ceacam1	ENSG00000124469	CEACAM8
ENSMUSG00000074272	Ceacam1	ENSG00000221826	PSG3
ENSMUSG00000074272	Ceacam1	ENSG00000124467	PSG8
ENSMUSG00000074272	Ceacam1	ENSG00000231924	PSG1
ENSMUSG00000074272	Ceacam1	ENSG00000243130	PSG11
ENSMUSG00000074272	Ceacam1	ENSG00000170848	PSG6
ENSMUSG00000074272	Ceacam1	ENSG00000243137	PSG4
ENSMUSG00000074272	Ceacam1	ENSG00000221878	PSG7
ENSMUSG00000074272	Ceacam1	ENSG00000242221	PSG2
ENSMUSG00000074272	Ceacam1	ENSG00000204941	PSG5
ENSMUSG00000074272	Ceacam1	ENSG00000183668	PSG9
ENSMUSG00000074272	Ceacam1	ENSG00000007306	CEACAM7
ENSMUSG00000074272	Ceacam1	ENSG00000086548	CEACAM6
ENSMUSG00000074272	Ceacam1	ENSG00000105388	CEACAM5
ENSMUSG00000074272	Ceacam1	ENSG00000170956	CEACAM3
ENSMUSG00000033257	Ttll4	ENSG00000135912	TTLL4
ENSMUSG00000031201	Brcc3	ENSG00000185515	BRCC3
ENSMUSG00000046731	Kctd11	ENSG00000213859	KCTD11
ENSMUSG00000025235	Bbs4	ENSG00000140463	BBS4
ENSMUSG00000006673	Qrich1	ENSG00000198218	QRICH1
ENSMUSG00000021057	Akap5	ENSG00000179841	AKAP5
ENSMUSG00000002820	Atg4d	ENSG00000130734	ATG4D
ENSMUSG00000022948	Setd4	ENSG00000185917	SETD4
ENSMUSG00000040506	Ambra1	ENSG00000110497	AMBRA1
ENSMUSG00000025269	Apex2	ENSG00000169188	APEX2
ENSMUSG00000045969	Ing1	ENSG00000153487	ING1
ENSMUSG00000044916	1700029I15Rik	ENSG00000234776	C11orf94
ENSMUSG00000028549	Itgb3bp	ENSG00000142856	ITGB3BP
ENSMUSG00000071856	Mcc	ENSG00000171444	MCC
ENSMUSG00000058254	Tspan7	ENSG00000250349	
ENSMUSG00000058254	Tspan7	ENSG00000156298	TSPAN7
ENSMUSG00000068686	Cd59b	ENSG00000085063	CD59
ENSMUSG00000068686	Cd59b	ENSG00000284969	
ENSMUSG00000078622	Ccdc47	ENSG00000108588	CCDC47
ENSMUSG00000027253	Lrp4	ENSG00000134569	LRP4
ENSMUSG00000063785	Utp14a	ENSG00000156697	UTP14A
ENSMUSG00000035305	Ror1	ENSG00000185483	ROR1
ENSMUSG00000032712	Resf1	ENSG00000174718	RESF1
ENSMUSG00000024095	Hnrnpll	ENSG00000143889	HNRNPLL
ENSMUSG00000016128	Stard13	ENSG00000133121	STARD13
ENSMUSG00000032468	Armc8	ENSG00000114098	ARMC8
ENSMUSG00000056537	Rlim	ENSG00000131263	RLIM
ENSMUSG00000026565	Pou2f1	ENSG00000143190	POU2F1
ENSMUSG00000032089	Il10ra	ENSG00000110324	IL10RA
ENSMUSG00000073910	Mob3b	ENSG00000120162	MOB3B
ENSMUSG00000037379	Spon2	ENSG00000159674	SPON2
ENSMUSG00000030088	Aldh1l1	ENSG00000144908	ALDH1L1
ENSMUSG00000066838	Zfp772	ENSG00000233757	
ENSMUSG00000009828	Ick	ENSG00000112144	ICK
ENSMUSG00000018459	Slc13a3	ENSG00000158296	SLC13A3
ENSMUSG00000039985	Sinhcaf	ENSG00000139146	SINHCAF
ENSMUSG00000028173	Wls	ENSG00000116729	WLS
ENSMUSG00000055436	Srsf11	ENSG00000116754	SRSF11
ENSMUSG00000037652	Phc3	ENSG00000173889	PHC3
ENSMUSG00000056973	Ces1d	ENSG00000198848	CES1
ENSMUSG00000027425	Kat14	ENSG00000149474	KAT14
ENSMUSG00000025578	Cbx8	ENSG00000141570	CBX8
ENSMUSG00000018167	Stard3	ENSG00000131748	STARD3
ENSMUSG00000100235	Gm28557	ENSG00000197013	ZNF429
ENSMUSG00000022774	Ncbp2	ENSG00000114503	NCBP2
ENSMUSG00000050947	Amigo1	ENSG00000181754	AMIGO1
ENSMUSG00000076609	Igkc	ENSG00000211592	IGKC
ENSMUSG00000060679	Mrps9	ENSG00000135972	MRPS9
ENSMUSG00000027809	Etfdh	ENSG00000171503	ETFDH
ENSMUSG00000029265	Dr1	ENSG00000117505	DR1
ENSMUSG00000029388	Eif2b1	ENSG00000111361	EIF2B1
ENSMUSG00000078193	Gm2000	ENSG00000136942	RPL35
ENSMUSG00000046756	Mrps7	ENSG00000125445	MRPS7
ENSMUSG00000038370	Pcp4l1	ENSG00000248485	PCP4L1
ENSMUSG00000028274	Rngtt	ENSG00000111880	RNGTT
ENSMUSG00000020781	Tsen54	ENSG00000182173	TSEN54
ENSMUSG00000019066	Rab3d	ENSG00000105514	RAB3D
ENSMUSG00000042473	Tbc1d8b	ENSG00000133138	TBC1D8B
ENSMUSG00000057614	Gnai1	ENSG00000127955	GNAI1
ENSMUSG00000032602	Slc25a20	ENSG00000178537	SLC25A20
ENSMUSG00000019971	Cep290	ENSG00000198707	CEP290
ENSMUSG00000040044	Orc3	ENSG00000135336	ORC3
ENSMUSG00000032279	Idh3a	ENSG00000166411	IDH3A
ENSMUSG00000105103	Gm43191	ENSG00000156875	MFSD14A
ENSMUSG00000105103	Gm43191	ENSG00000283761	
ENSMUSG00000036167	Pphln1	ENSG00000134283	PPHLN1
ENSMUSG00000067367	Lyar	ENSG00000145220	LYAR
ENSMUSG00000035764	Fbxo45	ENSG00000174013	FBXO45
ENSMUSG00000026341	Actr3	ENSG00000115091	ACTR3
ENSMUSG00000113475	Gm49366	ENSG00000184227	ACOT1
ENSMUSG00000113475	Gm49366	ENSG00000119673	ACOT2
ENSMUSG00000024810	Il33	ENSG00000137033	IL33
ENSMUSG00000053754	Chd8	ENSG00000100888	CHD8
ENSMUSG00000056515	Rab31	ENSG00000168461	RAB31
ENSMUSG00000037031	Tspan15	ENSG00000099282	TSPAN15
ENSMUSG00000022353	Mtss1	ENSG00000170873	MTSS1
ENSMUSG00000006782	Cnp	ENSG00000173786	CNP
ENSMUSG00000051413	Plagl2	ENSG00000126003	PLAGL2
ENSMUSG00000024603	Dctn4	ENSG00000132912	DCTN4
ENSMUSG00000043241	Upf2	ENSG00000151461	UPF2
ENSMUSG00000016024	Lbp	ENSG00000129988	LBP
ENSMUSG00000029592	Usp30	ENSG00000135093	USP30
ENSMUSG00000022941	Ripply3	ENSG00000183145	RIPPLY3
ENSMUSG00000006019	Dhx34	ENSG00000134815	DHX34
ENSMUSG00000040591	1110051M20Rik	ENSG00000149179	C11orf49
ENSMUSG00000031358	Msl3	ENSG00000005302	MSL3
ENSMUSG00000023008	Fmnl3	ENSG00000161791	FMNL3
ENSMUSG00000020773	Trim47	ENSG00000132481	TRIM47
ENSMUSG00000036202	Rif1	ENSG00000080345	RIF1
ENSMUSG00000032796	Lama1	ENSG00000101680	LAMA1
ENSMUSG00000028331	Trmo	ENSG00000136932	TRMO
ENSMUSG00000017929	B4galt5	ENSG00000158470	B4GALT5
ENSMUSG00000043872	Zmym1	ENSG00000197056	ZMYM1
ENSMUSG00000045917	Tmem268	ENSG00000157693	TMEM268
ENSMUSG00000031917	Nip7	ENSG00000132603	NIP7
ENSMUSG00000036352	Ubac1	ENSG00000130560	UBAC1
ENSMUSG00000046280	She	ENSG00000169291	SHE
ENSMUSG00000028289	Epha7	ENSG00000135333	EPHA7
ENSMUSG00000024844	Banf1	ENSG00000175334	BANF1
ENSMUSG00000027514	Zbp1	ENSG00000124256	ZBP1
ENSMUSG00000038695	Josd2	ENSG00000161677	JOSD2
ENSMUSG00000049775	Tmsb4x	ENSG00000154620	TMSB4Y
ENSMUSG00000029416	Slc15a4	ENSG00000139370	SLC15A4
ENSMUSG00000021715	Cwc27	ENSG00000153015	CWC27
ENSMUSG00000032410	Xrn1	ENSG00000114127	XRN1
ENSMUSG00000060657	Marf1	ENSG00000166783	MARF1
ENSMUSG00000030327	Necap1	ENSG00000089818	NECAP1
ENSMUSG00000022964	Tmem50b	ENSG00000142188	TMEM50B
ENSMUSG00000020115	Tbk1	ENSG00000183735	TBK1
ENSMUSG00000032320	Rcn2	ENSG00000117906	RCN2
ENSMUSG00000032178	Ilf3	ENSG00000129351	ILF3
ENSMUSG00000027070	Lrp2	ENSG00000081479	LRP2
ENSMUSG00000026810	Dpm2	ENSG00000136908	DPM2
ENSMUSG00000030417	Pdcd5	ENSG00000105185	PDCD5
ENSMUSG00000032006	Pdgfd	ENSG00000170962	PDGFD
ENSMUSG00000037826	Ppm1k	ENSG00000163644	PPM1K
ENSMUSG00000114046	Snapc1l	ENSG00000023608	SNAPC1
ENSMUSG00000025571	Tnrc6c	ENSG00000078687	TNRC6C
ENSMUSG00000034459	Ifit1	ENSG00000204010	IFIT1B
ENSMUSG00000024953	Prdx5	ENSG00000126432	PRDX5
ENSMUSG00000031024	St5	ENSG00000166444	ST5
ENSMUSG00000028291	Akirin2	ENSG00000135334	AKIRIN2
ENSMUSG00000041133	Smc1a	ENSG00000072501	SMC1A
ENSMUSG00000022285	Ywhaz	ENSG00000164924	YWHAZ
ENSMUSG00000025059	Gk	ENSG00000229894	GK3P
ENSMUSG00000035133	Arhgap5	ENSG00000100852	ARHGAP5
ENSMUSG00000021040	Slirp	ENSG00000119705	SLIRP
ENSMUSG00000061130	Ppm1b	ENSG00000285542	
ENSMUSG00000061130	Ppm1b	ENSG00000138032	PPM1B
ENSMUSG00000014542	Clec4f	ENSG00000152672	CLEC4F
ENSMUSG00000020936	Nmt1	ENSG00000136448	NMT1
ENSMUSG00000047030	Spata2	ENSG00000158480	SPATA2
ENSMUSG00000060807	Serpina6	ENSG00000170099	SERPINA6
ENSMUSG00000029428	Stx2	ENSG00000111450	STX2
ENSMUSG00000027677	Ttc14	ENSG00000163728	TTC14
ENSMUSG00000033965	Slc16a2	ENSG00000147100	SLC16A2
ENSMUSG00000031714	Gab1	ENSG00000109458	GAB1
ENSMUSG00000022621	Rabl2	ENSG00000144134	RABL2A
ENSMUSG00000022621	Rabl2	ENSG00000079974	RABL2B
ENSMUSG00000051483	Cbr1	ENSG00000159228	CBR1
ENSMUSG00000034640	Tiparp	ENSG00000163659	TIPARP
ENSMUSG00000026209	Dnpep	ENSG00000123992	DNPEP
ENSMUSG00000048200	Cracr2b	ENSG00000177685	CRACR2B
ENSMUSG00000026672	Optn	ENSG00000123240	OPTN
ENSMUSG00000018541	Cwc25	ENSG00000273559	CWC25
ENSMUSG00000039069	Mtg2	ENSG00000101181	MTG2
ENSMUSG00000019797	1700021F05Rik	ENSG00000130349	MTRES1
ENSMUSG00000035378	Shq1	ENSG00000144736	SHQ1
ENSMUSG00000029735	Tpk1	ENSG00000196511	TPK1
ENSMUSG00000084883	Ccdc85c	ENSG00000205476	CCDC85C
ENSMUSG00000056770	Setd3	ENSG00000183576	SETD3
ENSMUSG00000037818	Abhd18	ENSG00000164074	ABHD18
ENSMUSG00000036078	Sigmar1	ENSG00000147955	SIGMAR1
ENSMUSG00000026853	Crat	ENSG00000095321	CRAT
ENSMUSG00000052428	Tmco1	ENSG00000143183	TMCO1
ENSMUSG00000003346	Abhd17a	ENSG00000129968	ABHD17A
ENSMUSG00000036106	Prr5	ENSG00000186654	PRR5
ENSMUSG00000071716	Apol7e	ENSG00000128284	APOL3
ENSMUSG00000034432	Cops8	ENSG00000198612	COPS8
ENSMUSG00000030060	Hmces	ENSG00000183624	HMCES
ENSMUSG00000022420	Dnal4	ENSG00000100246	DNAL4
ENSMUSG00000023272	Creld2	ENSG00000184164	CRELD2
ENSMUSG00000038116	Phf20	ENSG00000025293	PHF20
ENSMUSG00000001016	Ilf2	ENSG00000143621	ILF2
ENSMUSG00000038604	Ripor1	ENSG00000039523	RIPOR1
ENSMUSG00000045817	Zfp36l2	ENSG00000152518	ZFP36L2
ENSMUSG00000003477	Inmt	ENSG00000241644	INMT
ENSMUSG00000003477	Inmt	ENSG00000254959	INMT-MINDY4
ENSMUSG00000018189	Uchl5	ENSG00000116750	UCHL5
ENSMUSG00000030002	Dusp11	ENSG00000144048	DUSP11
ENSMUSG00000022864	D16Ertd472e	ENSG00000154642	C21orf91
ENSMUSG00000035595	1600002K03Rik	ENSG00000228300	FAM174C
ENSMUSG00000035227	Spcs2	ENSG00000118363	SPCS2
ENSMUSG00000055862	Izumo4	ENSG00000099840	IZUMO4
ENSMUSG00000036833	Pnpla7	ENSG00000130653	PNPLA7
ENSMUSG00000017405	Nek8	ENSG00000160602	NEK8
ENSMUSG00000024359	Hspa9	ENSG00000113013	HSPA9
ENSMUSG00000031987	Egln1	ENSG00000287856	
ENSMUSG00000031987	Egln1	ENSG00000135766	EGLN1
ENSMUSG00000022507	1810013L24Rik	ENSG00000182831	C16orf72
ENSMUSG00000003119	Cdk12	ENSG00000167258	CDK12
ENSMUSG00000013858	Tmem259	ENSG00000182087	TMEM259
ENSMUSG00000036281	Snapc4	ENSG00000165684	SNAPC4
ENSMUSG00000022445	Cyp2d26	ENSG00000100197	CYP2D6
ENSMUSG00000031740	Mmp2	ENSG00000087245	MMP2
ENSMUSG00000029486	Mrpl1	ENSG00000169288	MRPL1
ENSMUSG00000020427	Igfbp3	ENSG00000146674	IGFBP3
ENSMUSG00000037926	Ssh2	ENSG00000141298	SSH2
ENSMUSG00000022361	Zhx1	ENSG00000165156	ZHX1
ENSMUSG00000075419	Dolk	ENSG00000175283	DOLK
ENSMUSG00000005871	Apc	ENSG00000134982	APC
ENSMUSG00000024853	Sf3b2	ENSG00000087365	SF3B2
ENSMUSG00000039316	Rftn1	ENSG00000131378	RFTN1
ENSMUSG00000031438	Rnf128	ENSG00000133135	RNF128
ENSMUSG00000056899	Immp2l	ENSG00000184903	IMMP2L
ENSMUSG00000045282	Tmem86b	ENSG00000180089	TMEM86B
ENSMUSG00000019947	Arid5b	ENSG00000150347	ARID5B
ENSMUSG00000039653	Baat	ENSG00000136881	BAAT
ENSMUSG00000045538	Ddx28	ENSG00000182810	DDX28
ENSMUSG00000040669	Phc1	ENSG00000111752	PHC1
ENSMUSG00000021900	Btd	ENSG00000169814	BTD
ENSMUSG00000046169	Adamts6	ENSG00000049192	ADAMTS6
ENSMUSG00000033105	Lss	ENSG00000160285	LSS
ENSMUSG00000018845	Unc45b	ENSG00000141161	UNC45B
ENSMUSG00000021962	Dcp1a	ENSG00000272886	DCP1A
ENSMUSG00000031954	Cfdp1	ENSG00000153774	CFDP1
ENSMUSG00000029993	Nfu1	ENSG00000169599	NFU1
ENSMUSG00000045954	Cavin2	ENSG00000168497	CAVIN2
ENSMUSG00000061859	Patj	ENSG00000132849	PATJ
ENSMUSG00000047221	Fam185a	ENSG00000222011	FAM185A
ENSMUSG00000028772	Zcchc17	ENSG00000121766	ZCCHC17
ENSMUSG00000018339	Gpx3	ENSG00000211445	GPX3
ENSMUSG00000018548	Trim37	ENSG00000108395	TRIM37
ENSMUSG00000023977	Ubr2	ENSG00000024048	UBR2
ENSMUSG00000034083	Ccdc174	ENSG00000154781	CCDC174
ENSMUSG00000015143	Actn1	ENSG00000072110	ACTN1
ENSMUSG00000048120	Entpd1	ENSG00000138185	ENTPD1
ENSMUSG00000036966	Spryd3	ENSG00000167778	SPRYD3
ENSMUSG00000031556	Tm2d2	ENSG00000169490	TM2D2
ENSMUSG00000020335	Zfp354b	ENSG00000178338	ZNF354B
ENSMUSG00000021222	Dcaf4	ENSG00000119599	DCAF4
ENSMUSG00000060441	Trim5	ENSG00000239920	
ENSMUSG00000060441	Trim5	ENSG00000132256	TRIM5
ENSMUSG00000037325	Bbs7	ENSG00000138686	BBS7
ENSMUSG00000032497	Lrrfip2	ENSG00000093167	LRRFIP2
ENSMUSG00000005575	Ube2m	ENSG00000130725	UBE2M
ENSMUSG00000022722	Arl6	ENSG00000113966	ARL6
ENSMUSG00000017765	Slc12a4	ENSG00000124067	SLC12A4
ENSMUSG00000030674	Qprt	ENSG00000103485	QPRT
ENSMUSG00000021650	Ptcd2	ENSG00000049883	PTCD2
ENSMUSG00000031604	Msmo1	ENSG00000052802	MSMO1
ENSMUSG00000017376	Nlk	ENSG00000087095	NLK
ENSMUSG00000038725	Pkhd1l1	ENSG00000205038	PKHD1L1
ENSMUSG00000034807	Colgalt1	ENSG00000130309	COLGALT1
ENSMUSG00000026750	Psmb7	ENSG00000136930	PSMB7
ENSMUSG00000027244	Atg13	ENSG00000175224	ATG13
ENSMUSG00000044986	Tst	ENSG00000128311	TST
ENSMUSG00000078931	Pdf	ENSG00000258429	PDF
ENSMUSG00000035234	Abraxas1	ENSG00000163322	ABRAXAS1
ENSMUSG00000037415	Ranbp10	ENSG00000141084	RANBP10
ENSMUSG00000035107	Dcbld2	ENSG00000057019	DCBLD2
ENSMUSG00000028551	Cdkn2c	ENSG00000123080	CDKN2C
ENSMUSG00000039473	Ubn1	ENSG00000118900	UBN1
ENSMUSG00000020601	Trib2	ENSG00000071575	TRIB2
ENSMUSG00000075467	Dnlz	ENSG00000213221	DNLZ
ENSMUSG00000032553	Srprb	ENSG00000144867	SRPRB
ENSMUSG00000035919	Bbs9	ENSG00000122507	BBS9
ENSMUSG00000025413	Ttc4	ENSG00000243725	TTC4
ENSMUSG00000068856	Sf3b4	ENSG00000143368	SF3B4
ENSMUSG00000034793	G6pc3	ENSG00000141349	G6PC3
ENSMUSG00000028565	Nfia	ENSG00000162599	NFIA
ENSMUSG00000042165	Gm9774	ENSG00000130706	ADRM1
ENSMUSG00000023938	Aars2	ENSG00000124608	AARS2
ENSMUSG00000021364	Elovl2	ENSG00000197977	ELOVL2
ENSMUSG00000039634	Zfp189	ENSG00000136870	ZNF189
ENSMUSG00000032185	Carm1	ENSG00000142453	CARM1
ENSMUSG00000027404	Snrpb	ENSG00000125835	SNRPB
ENSMUSG00000038005	Hpf1	ENSG00000056050	HPF1
ENSMUSG00000034121	Mks1	ENSG00000011143	MKS1
ENSMUSG00000045211	Nudt18	ENSG00000275074	NUDT18
ENSMUSG00000005054	Cstb	ENSG00000160213	CSTB
ENSMUSG00000048154	Kmt2d	ENSG00000167548	KMT2D
ENSMUSG00000022554	Hgh1	ENSG00000235173	HGH1
ENSMUSG00000037235	Mxd4	ENSG00000123933	MXD4
ENSMUSG00000010721	Lmbr1	ENSG00000105983	LMBR1
ENSMUSG00000001366	Fbxo9	ENSG00000112146	FBXO9
ENSMUSG00000038346	Zfp384	ENSG00000126746	ZNF384
ENSMUSG00000024181	Mrpl28	ENSG00000086504	MRPL28
ENSMUSG00000035632	Cnot3	ENSG00000088038	CNOT3
ENSMUSG00000041632	Mrps27	ENSG00000113048	MRPS27
ENSMUSG00000004455	Ppp1cc	ENSG00000186298	PPP1CC
ENSMUSG00000049354	Dcaf7	ENSG00000136485	DCAF7
ENSMUSG00000009741	Ubp1	ENSG00000153560	UBP1
ENSMUSG00000022792	Yars2	ENSG00000139131	YARS2
ENSMUSG00000019837	Gtf3c6	ENSG00000155115	GTF3C6
ENSMUSG00000022956	Atp5o	ENSG00000249209	
ENSMUSG00000022956	Atp5o	ENSG00000241837	ATP5PO
ENSMUSG00000028868	Wasf2	ENSG00000158195	WASF2
ENSMUSG00000002835	Chaf1a	ENSG00000167670	CHAF1A
ENSMUSG00000054405	Dnajc8	ENSG00000126698	DNAJC8
ENSMUSG00000021615	Xrcc4	ENSG00000152422	XRCC4
ENSMUSG00000059060	Rad51b	ENSG00000182185	RAD51B
ENSMUSG00000074088	Snrnp40	ENSG00000060688	SNRNP40
ENSMUSG00000034109	Golim4	ENSG00000173905	GOLIM4
ENSMUSG00000029148	Nrbp1	ENSG00000115216	NRBP1
ENSMUSG00000027166	Dnajc24	ENSG00000170946	DNAJC24
ENSMUSG00000118504		ENSG00000143612	C1orf43
ENSMUSG00000060935	Tmem263	ENSG00000151135	TMEM263
ENSMUSG00000034917	Tjp3	ENSG00000105289	TJP3
ENSMUSG00000024084	Qpct	ENSG00000115828	QPCT
ENSMUSG00000079550	Mpp4	ENSG00000082126	MPP4
ENSMUSG00000026199	Ankzf1	ENSG00000163516	ANKZF1
ENSMUSG00000003604	Aven	ENSG00000169857	AVEN
ENSMUSG00000020453	Patz1	ENSG00000100105	PATZ1
ENSMUSG00000040940	Arhgef1	ENSG00000076928	ARHGEF1
ENSMUSG00000074622	Mafb	ENSG00000204103	MAFB
ENSMUSG00000024827	Gldc	ENSG00000178445	GLDC
ENSMUSG00000049230	Gm9833	ENSG00000104177	MYEF2
ENSMUSG00000050069	Grem2	ENSG00000180875	GREM2
ENSMUSG00000016933	Plcg1	ENSG00000124181	PLCG1
ENSMUSG00000028637	Ccdc30	ENSG00000186409	CCDC30
ENSMUSG00000039662	Icmt	ENSG00000116237	ICMT
ENSMUSG00000028713	Cyp4b1	ENSG00000142973	CYP4B1
ENSMUSG00000089945	Pakap	ENSG00000157654	PALM2-AKAP2
ENSMUSG00000003363	Pld3	ENSG00000105223	PLD3
ENSMUSG00000031167	Rbm3	ENSG00000102317	RBM3
ENSMUSG00000019734	Tmc4	ENSG00000167608	TMC4
ENSMUSG00000027430	Dtd1	ENSG00000284776	
ENSMUSG00000047126	Cltc	ENSG00000141367	CLTC
ENSMUSG00000039813	Tbc1d2	ENSG00000095383	TBC1D2
ENSMUSG00000007589	Tinf2	ENSG00000092330	TINF2
ENSMUSG00000032702	Kank1	ENSG00000107104	KANK1
ENSMUSG00000076435	Acsf2	ENSG00000167107	ACSF2
ENSMUSG00000034024	Cct2	ENSG00000166226	CCT2
ENSMUSG00000027255	Arfgap2	ENSG00000149182	ARFGAP2
ENSMUSG00000041187	Prkd2	ENSG00000105287	PRKD2
ENSMUSG00000036208	Nepro	ENSG00000163608	NEPRO
ENSMUSG00000096852	Cyp2d12	ENSG00000100197	CYP2D6
ENSMUSG00000075000	Nrbf2	ENSG00000148572	NRBF2
ENSMUSG00000032534	Cep63	ENSG00000182923	CEP63
ENSMUSG00000027313	Chac1	ENSG00000128965	CHAC1
ENSMUSG00000026563	Tada1	ENSG00000152382	TADA1
ENSMUSG00000039994	Timeless	ENSG00000111602	TIMELESS
ENSMUSG00000027305	Ndufaf1	ENSG00000137806	NDUFAF1
ENSMUSG00000023942	Slc29a1	ENSG00000112759	SLC29A1
ENSMUSG00000035828	Pim3	ENSG00000198355	PIM3
