GeneID_mouse	GeneSymbol_mouse	GeneID_macaque	GeneSymbol_macaque
ENSMUSG00000041966	Dcaf17	ENSMFAG00000032409	DCAF17
ENSMUSG00000031924	Cyb5b	ENSMFAG00000034432	CYB5B
ENSMUSG00000025317	Car5a	ENSMFAG00000041635	CA5A
ENSMUSG00000002250	Ppard	ENSMFAG00000036921	PPARD
ENSMUSG00000027983	Cyp2u1	ENSMFAG00000003841	CYP2U1
ENSMUSG00000040351	Ankib1	ENSMFAG00000040224	ANKIB1
ENSMUSG00000062604	Srpk2	ENSMFAG00000045529	
ENSMUSG00000060152	Pop5	ENSMFAG00000045933	POP5
ENSMUSG00000026816	Gtf3c5	ENSMFAG00000041901	
ENSMUSG00000043061	Tmem18	ENSMFAG00000043903	TMEM18
ENSMUSG00000027001	Dusp19	ENSMFAG00000034205	DUSP19
ENSMUSG00000031700	Gpt2	ENSMFAG00000033087	GPT2
ENSMUSG00000032567	Aste1	ENSMFAG00000043710	ASTE1
ENSMUSG00000015605	Srf	ENSMFAG00000043125	SRF
ENSMUSG00000028961	Pgd	ENSMFAG00000003686	
ENSMUSG00000028961	Pgd	ENSMFAG00000046368	
ENSMUSG00000000759	Tubgcp3	ENSMFAG00000033216	TUBGCP3
ENSMUSG00000038550	Ciart	ENSMFAG00000042429	CIART
ENSMUSG00000000058	Cav2	ENSMFAG00000032626	CAV2
ENSMUSG00000101892	9130401M01Rik	ENSMFAG00000003918	C8orf76
ENSMUSG00000022106	Rcbtb2	ENSMFAG00000042366	RCBTB2
ENSMUSG00000037887	Dusp8	ENSMFAG00000002727	DUSP8
ENSMUSG00000033036	Gm7879	ENSMFAG00000034307	PPIH
ENSMUSG00000032403	2300009A05Rik	ENSMFAG00000039821	C15orf61
ENSMUSG00000048368	Omd	ENSMFAG00000042588	OMD
ENSMUSG00000004356	Utp20	ENSMFAG00000037766	UTP20
ENSMUSG00000037712	Fermt2	ENSMFAG00000038626	FERMT2
ENSMUSG00000024404	Riok3	ENSMFAG00000035617	RIOK3
ENSMUSG00000026499	Acbd3	ENSMFAG00000045670	ACBD3
ENSMUSG00000022359	Wdyhv1	ENSMFAG00000045125	WDYHV1
ENSMUSG00000029638	Glcci1	ENSMFAG00000038435	GLCCI1
ENSMUSG00000025347	Mettl7b	ENSMFAG00000041138	METTL7B
ENSMUSG00000022304	Dpys	ENSMFAG00000037174	DPYS
ENSMUSG00000033249	Hsf4	ENSMFAG00000032308	HSF4
ENSMUSG00000013646	Sh3bp5l	ENSMFAG00000002737	SH3BP5L
ENSMUSG00000066361	Serpina3c	ENSMFAG00000045243	SERPINA3
ENSMUSG00000040321	Zfp770	ENSMFAG00000037121	
ENSMUSG00000030868	Dctn5	ENSMFAG00000045332	DCTN5
ENSMUSG00000022552	Sharpin	ENSMFAG00000038852	SHARPIN
ENSMUSG00000040663	Clcf1	ENSMFAG00000039712	CLCF1
ENSMUSG00000032492	Pth1r	ENSMFAG00000033228	PTH1R
ENSMUSG00000024862	Klc2	ENSMFAG00000044640	KLC2
ENSMUSG00000028693	Nasp	ENSMFAG00000043112	NASP
ENSMUSG00000031255	Sytl4	ENSMFAG00000033002	SYTL4
ENSMUSG00000061028	Clasrp	ENSMFAG00000032121	CLASRP
ENSMUSG00000036352	Ubac1	ENSMFAG00000036900	UBAC1
ENSMUSG00000034211	Mrps17	ENSMFAG00000038594	
ENSMUSG00000071714	Csf2rb2	ENSMFAG00000044262	CSF2RB
ENSMUSG00000032553	Srprb	ENSMFAG00000039758	SRPRB
ENSMUSG00000026353	Ubxn4	ENSMFAG00000002817	UBXN4
ENSMUSG00000035671	Zswim4	ENSMFAG00000041230	ZSWIM4
ENSMUSG00000034863	Ano8	ENSMFAG00000035784	ANO8
ENSMUSG00000044442	N6amt1	ENSMFAG00000032851	N6AMT1
ENSMUSG00000094156	Sult2a7	ENSMFAG00000046325	
ENSMUSG00000042444	Mindy2	ENSMFAG00000033162	MINDY2
ENSMUSG00000031523	Dlc1	ENSMFAG00000041985	
ENSMUSG00000020889	Nr1d1	ENSMFAG00000038118	NR1D1
ENSMUSG00000038400	Pmepa1	ENSMFAG00000045392	PMEPA1
ENSMUSG00000037773	Pced1a	ENSMFAG00000032941	PCED1A
ENSMUSG00000029440	Psmd9	ENSMFAG00000037177	
ENSMUSG00000102976	Zc3h11a	ENSMFAG00000003997	
ENSMUSG00000033434	Gtpbp6	ENSMFAG00000041568	GTPBP6
ENSMUSG00000000171	Sdhd	ENSMFAG00000043016	SDHD
ENSMUSG00000039713	Plekhg5	ENSMFAG00000004055	PLEKHG5
ENSMUSG00000027276	Jag1	ENSMFAG00000033249	JAG1
ENSMUSG00000037643	Prkci	ENSMFAG00000042910	PRKCI
ENSMUSG00000028128	F3	ENSMFAG00000041937	F3
ENSMUSG00000029735	Tpk1	ENSMFAG00000035720	TPK1
ENSMUSG00000002814	Top3a	ENSMFAG00000044142	TOP3A
ENSMUSG00000028247	Coq3	ENSMFAG00000034338	COQ3
ENSMUSG00000059248	Sept9	ENSMFAG00000035508	SEPTIN9
ENSMUSG00000114942	Gm49361	ENSMFAG00000035627	LATS2
ENSMUSG00000037772	Mrpl23	ENSMFAG00000039715	
ENSMUSG00000023348	Trip6	ENSMFAG00000035576	TRIP6
ENSMUSG00000043252	Tmem64	ENSMFAG00000032042	TMEM64
ENSMUSG00000025956	Mettl21a	ENSMFAG00000041805	METTL21A
ENSMUSG00000045854	Lyrm2	ENSMFAG00000036718	LYRM2
ENSMUSG00000059974	Ntm	ENSMFAG00000044135	NTM
ENSMUSG00000026504	Sdccag8	ENSMFAG00000045247	SDCCAG8
ENSMUSG00000023249	Parp3	ENSMFAG00000032908	PARP3
ENSMUSG00000001123	Lgals9	ENSMFAG00000043707	
ENSMUSG00000001123	Lgals9	ENSMFAG00000045881	LGALS14
ENSMUSG00000061815	Rufy4	ENSMFAG00000032847	RUFY4
ENSMUSG00000026409	Pfkfb2	ENSMFAG00000041915	
ENSMUSG00000020868	Xylt2	ENSMFAG00000043415	XYLT2
ENSMUSG00000022177	Haus4	ENSMFAG00000042332	
ENSMUSG00000028041	Adam15	ENSMFAG00000043971	ADAM15
ENSMUSG00000079429	Mroh2a	ENSMFAG00000045490	MROH2A
ENSMUSG00000028692	Akr1a1	ENSMFAG00000036808	AKR1A1
ENSMUSG00000024863	Mbl2	ENSMFAG00000032115	MBL2
ENSMUSG00000029276	Glmn	ENSMFAG00000035560	GLMN
ENSMUSG00000063049	Ing2	ENSMFAG00000032816	ING2
ENSMUSG00000093575	Gm20695	ENSMFAG00000037147	
ENSMUSG00000042046	Dstyk	ENSMFAG00000040203	DSTYK
ENSMUSG00000028821	Syf2	ENSMFAG00000041831	SYF2
ENSMUSG00000034509	Mad2l1bp	ENSMFAG00000038892	MAD2L1BP
ENSMUSG00000022403	St13	ENSMFAG00000045985	
ENSMUSG00000014959	Gorasp2	ENSMFAG00000045440	
ENSMUSG00000073481	Marc2	ENSMFAG00000032804	
ENSMUSG00000028603	Scp2	ENSMFAG00000039858	SCP2
ENSMUSG00000029642	Polr1d	ENSMFAG00000045264	POLR1D
ENSMUSG00000037440	Vnn1	ENSMFAG00000044253	VNN1
ENSMUSG00000058503	Fam133b	ENSMFAG00000042530	
ENSMUSG00000058503	Fam133b	ENSMFAG00000003699	
ENSMUSG00000058503	Fam133b	ENSMFAG00000046323	
ENSMUSG00000022394	L3mbtl2	ENSMFAG00000037650	L3MBTL2
ENSMUSG00000051256	Jagn1	ENSMFAG00000038434	JAGN1
ENSMUSG00000031147	Magix	ENSMFAG00000035726	MAGIX
ENSMUSG00000047141	Zfp654	ENSMFAG00000041264	ZNF654
ENSMUSG00000006711	D130043K22Rik	ENSMFAG00000041252	KIAA0319
ENSMUSG00000109865	Hspa14	ENSMFAG00000044126	
ENSMUSG00000070733	Fryl	ENSMFAG00000034687	FRYL
ENSMUSG00000037001	Zfp39	ENSMFAG00000043350	ZNF570
ENSMUSG00000062937	Mtap	ENSMFAG00000036751	
ENSMUSG00000049659	Aftph	ENSMFAG00000041331	AFTPH
ENSMUSG00000038155	Gstp2	ENSMFAG00000032564	
ENSMUSG00000058298	Mcm9	ENSMFAG00000002788	MCM9
ENSMUSG00000004947	Dtx2	ENSMFAG00000037159	DTX2
ENSMUSG00000029468	P2rx7	ENSMFAG00000032645	P2RX7
ENSMUSG00000055254	Ntrk2	ENSMFAG00000045094	NTRK2
ENSMUSG00000020955	Ap4s1	ENSMFAG00000032637	AP4S1
ENSMUSG00000045268	Zfp691	ENSMFAG00000002872	ZNF691
ENSMUSG00000036323	Srp72	ENSMFAG00000037164	
ENSMUSG00000021196	Pfkp	ENSMFAG00000043758	
ENSMUSG00000029536	Gatc	ENSMFAG00000034197	GATC
ENSMUSG00000028011	Tdo2	ENSMFAG00000031955	TDO2
ENSMUSG00000035711	Dok3	ENSMFAG00000041793	DOK3
ENSMUSG00000048310	Pskh1	ENSMFAG00000034697	PSKH1
ENSMUSG00000036661	Dennd3	ENSMFAG00000034459	DENND3
ENSMUSG00000017264	Exosc10	ENSMFAG00000038874	EXOSC10
ENSMUSG00000016493	Cd46	ENSMFAG00000003828	CD46
ENSMUSG00000028158	Mttp	ENSMFAG00000003116	MTTP
ENSMUSG00000039246	Lyplal1	ENSMFAG00000003062	LYPLAL1
ENSMUSG00000049950	Rpp38	ENSMFAG00000003912	
ENSMUSG00000025194	Abcc2	ENSMFAG00000042907	
ENSMUSG00000036026	Tmem63b	ENSMFAG00000041643	TMEM63B
ENSMUSG00000043681	Fam25c	ENSMFAG00000043901	
ENSMUSG00000043681	Fam25c	ENSMFAG00000041417	
ENSMUSG00000031304	Il2rg	ENSMFAG00000043570	
ENSMUSG00000038886	Man2a2	ENSMFAG00000035650	MAN2A2
ENSMUSG00000070576	Mn1	ENSMFAG00000032164	MN1
ENSMUSG00000021492	F12	ENSMFAG00000032594	F12
ENSMUSG00000074207	Adh1	ENSMFAG00000039788	
ENSMUSG00000031402	Mpp1	ENSMFAG00000046162	MPP1
ENSMUSG00000014592	Camta1	ENSMFAG00000035577	CAMTA1
ENSMUSG00000047759	Hs3st3a1	ENSMFAG00000041774	HS3ST3A1
ENSMUSG00000007415	Gatad1	ENSMFAG00000033362	GATAD1
ENSMUSG00000039738	Slx4	ENSMFAG00000043878	SLX4
ENSMUSG00000025377	Tepsin	ENSMFAG00000032293	
ENSMUSG00000025377	Tepsin	ENSMFAG00000045078	TEPSIN
ENSMUSG00000020037	Rfx4	ENSMFAG00000037762	RFX4
ENSMUSG00000017858	Ift52	ENSMFAG00000044608	IFT52
ENSMUSG00000020925	Ccdc43	ENSMFAG00000034312	CCDC43
ENSMUSG00000089876	Tmem102	ENSMFAG00000032693	TMEM102
ENSMUSG00000039983	Ccdc32	ENSMFAG00000032377	
ENSMUSG00000028792	Ak2	ENSMFAG00000044523	
ENSMUSG00000028792	Ak2	ENSMFAG00000045877	
ENSMUSG00000032329	Hmg20a	ENSMFAG00000037384	HMG20A
ENSMUSG00000037465	Klf10	ENSMFAG00000036189	KLF10
ENSMUSG00000109511	Nup62	ENSMFAG00000002930	NUP62
ENSMUSG00000020231	Dip2a	ENSMFAG00000034305	DIP2A
ENSMUSG00000001054	Rmnd5b	ENSMFAG00000044663	RMND5B
ENSMUSG00000056629	Fkbp2	ENSMFAG00000002773	
ENSMUSG00000056629	Fkbp2	ENSMFAG00000039863	
ENSMUSG00000029470	P2rx4	ENSMFAG00000041150	P2RX4
ENSMUSG00000028851	Nudc	ENSMFAG00000035581	
ENSMUSG00000028851	Nudc	ENSMFAG00000042212	
ENSMUSG00000028851	Nudc	ENSMFAG00000003341	
ENSMUSG00000029635	Cdk8	ENSMFAG00000003010	CDK8
ENSMUSG00000063019	Manbal	ENSMFAG00000036980	MANBAL
ENSMUSG00000027673	Ndufb5	ENSMFAG00000042220	
ENSMUSG00000002031	Ift46	ENSMFAG00000044763	IFT46
ENSMUSG00000030865	Chp2	ENSMFAG00000045880	CHP2
ENSMUSG00000025616	Usp16	ENSMFAG00000044627	USP16
ENSMUSG00000020778	Ten1	ENSMFAG00000038618	
ENSMUSG00000020079	Supv3l1	ENSMFAG00000003566	SUPV3L1
ENSMUSG00000024276	Zfp397	ENSMFAG00000038856	ZNF397
ENSMUSG00000039509	Nup133	ENSMFAG00000044341	NUP133
ENSMUSG00000026811	St6galnac6	ENSMFAG00000032250	
ENSMUSG00000031310	Zmym3	ENSMFAG00000043632	ZMYM3
ENSMUSG00000033237	Arid2	ENSMFAG00000038693	ARID2
ENSMUSG00000027006	Dnajc10	ENSMFAG00000033148	DNAJC10
ENSMUSG00000031365	Zfp275	ENSMFAG00000034548	
ENSMUSG00000029392	Rilpl1	ENSMFAG00000041844	RILPL1
ENSMUSG00000094483	Purb	ENSMFAG00000002908	PURB
ENSMUSG00000024773	Atg2a	ENSMFAG00000002767	ATG2A
ENSMUSG00000028444	Cntfr	ENSMFAG00000037710	CNTFR
ENSMUSG00000030166	Rad52	ENSMFAG00000033321	
ENSMUSG00000024091	Vapa	ENSMFAG00000041702	
ENSMUSG00000031805	Jak3	ENSMFAG00000034366	JAK3
ENSMUSG00000040843	Tiprl	ENSMFAG00000045557	TIPRL
ENSMUSG00000020516	Rps6kb1	ENSMFAG00000043523	
ENSMUSG00000002345	Borcs8	ENSMFAG00000032755	
ENSMUSG00000007812	Zfp655	ENSMFAG00000037712	ZNF655
ENSMUSG00000068742	Cry2	ENSMFAG00000045219	CRY2
ENSMUSG00000035575	Utp6	ENSMFAG00000041904	
ENSMUSG00000035575	Utp6	ENSMFAG00000038842	
ENSMUSG00000020463	Ppp4r3b	ENSMFAG00000037701	PPP4R3B
ENSMUSG00000027303	Ptpra	ENSMFAG00000033743	PTPRA
ENSMUSG00000006235	Epor	ENSMFAG00000038076	EPOR
ENSMUSG00000025986	Slc39a10	ENSMFAG00000035991	SLC39A10
ENSMUSG00000039096	Rsad1	ENSMFAG00000035805	RSAD1
ENSMUSG00000060183	Cxcl11	ENSMFAG00000045313	CXCL11
ENSMUSG00000116158	Kiss1	ENSMFAG00000046289	KISS1
ENSMUSG00000024887	Asah2	ENSMFAG00000034694	ASAH2
ENSMUSG00000024712	Rfk	ENSMFAG00000044343	
ENSMUSG00000024712	Rfk	ENSMFAG00000003610	
ENSMUSG00000024712	Rfk	ENSMFAG00000038718	
ENSMUSG00000062116	Zfp954	ENSMFAG00000042935	
ENSMUSG00000038046	Mrm3	ENSMFAG00000045382	MRM3
ENSMUSG00000030019	Fbxl14	ENSMFAG00000003113	FBXL14
ENSMUSG00000063810	Alms1	ENSMFAG00000038592	ALMS1
ENSMUSG00000024735	Prpf19	ENSMFAG00000036743	PRPF19
ENSMUSG00000060279	Ap2a1	ENSMFAG00000042161	AP2A1
ENSMUSG00000010601	Apol7a	ENSMFAG00000031976	APOL4
ENSMUSG00000010601	Apol7a	ENSMFAG00000046031	
ENSMUSG00000008976	Gabpa	ENSMFAG00000041587	GABPA
ENSMUSG00000035697	Arhgap45	ENSMFAG00000037188	ARHGAP45
ENSMUSG00000055660	Mettl4	ENSMFAG00000046183	METTL4
ENSMUSG00000025532	Crcp	ENSMFAG00000037828	CRCP
ENSMUSG00000004266	Ptpn6	ENSMFAG00000033356	PTPN6
ENSMUSG00000029599	Ddx54	ENSMFAG00000043636	DDX54
ENSMUSG00000045294	Insig1	ENSMFAG00000038429	
ENSMUSG00000029863	Casp2	ENSMFAG00000042207	CASP2
ENSMUSG00000020457	Drg1	ENSMFAG00000038637	
ENSMUSG00000000085	Scmh1	ENSMFAG00000036779	
ENSMUSG00000030236	Slco1b2	ENSMFAG00000037163	
ENSMUSG00000053617	Sh3pxd2a	ENSMFAG00000044985	SH3PXD2A
ENSMUSG00000026565	Pou2f1	ENSMFAG00000002865	POU2F1
ENSMUSG00000018974	Sart3	ENSMFAG00000039887	SART3
ENSMUSG00000026510	Trp53bp2	ENSMFAG00000003807	TP53BP2
ENSMUSG00000008892	Vdac3	ENSMFAG00000041877	VDAC3
ENSMUSG00000005871	Apc	ENSMFAG00000041277	APC
ENSMUSG00000036160	Surf6	ENSMFAG00000033030	SURF6
ENSMUSG00000034738	Nostrin	ENSMFAG00000031990	NOSTRIN
ENSMUSG00000028373	Astn2	ENSMFAG00000044594	ASTN2
ENSMUSG00000003402	Prkcsh	ENSMFAG00000033977	PRKCSH
ENSMUSG00000024982	Zdhhc6	ENSMFAG00000041749	ZDHHC6
ENSMUSG00000021583	Erap1	ENSMFAG00000043440	ERAP1
ENSMUSG00000063889	Crem	ENSMFAG00000044046	CREM
ENSMUSG00000028414	Fktn	ENSMFAG00000035942	
ENSMUSG00000055546	Timd4	ENSMFAG00000044327	TIMD4
ENSMUSG00000025646	Atrip	ENSMFAG00000040873	ATRIP
ENSMUSG00000019929	Dcn	ENSMFAG00000037651	DCN
ENSMUSG00000035776	Cd99l2	ENSMFAG00000043583	CD99L2
ENSMUSG00000028076	Cd1d1	ENSMFAG00000044229	CD1D
ENSMUSG00000027952	Pmvk	ENSMFAG00000032448	PMVK
ENSMUSG00000033054	Npat	ENSMFAG00000034204	NPAT
ENSMUSG00000002332	Dhrs1	ENSMFAG00000034466	DHRS1
ENSMUSG00000033577	Myo6	ENSMFAG00000038795	MYO6
ENSMUSG00000052062	Pard3b	ENSMFAG00000043904	PARD3B
ENSMUSG00000074862	BC025920	ENSMFAG00000045401	ZNF77
ENSMUSG00000028312	Smc2	ENSMFAG00000035914	SMC2
ENSMUSG00000025545	Clybl	ENSMFAG00000036639	CLYBL
ENSMUSG00000036570	Fxyd1	ENSMFAG00000041184	FXYD1
ENSMUSG00000063511	Snrnp70	ENSMFAG00000039824	SNRNP70
ENSMUSG00000019467	Arhgef25	ENSMFAG00000043848	
ENSMUSG00000018736	Ndel1	ENSMFAG00000038556	NDEL1
ENSMUSG00000030748	Il4ra	ENSMFAG00000032930	IL4R
ENSMUSG00000026227	2810459M11Rik	ENSMFAG00000003270	C2orf72
ENSMUSG00000035235	Trim13	ENSMFAG00000042055	TRIM13
ENSMUSG00000047789	Slc38a9	ENSMFAG00000042280	SLC38A9
ENSMUSG00000041961	Znrf3	ENSMFAG00000041282	ZNRF3
ENSMUSG00000022895	Ets2	ENSMFAG00000042503	ETS2
ENSMUSG00000040356	Skiv2l	ENSMFAG00000034235	SKIV2L
ENSMUSG00000031389	Arhgap4	ENSMFAG00000038733	ARHGAP4
ENSMUSG00000050213	Snip1	ENSMFAG00000044712	SNIP1
ENSMUSG00000033596	Rfwd3	ENSMFAG00000043003	RFWD3
ENSMUSG00000025213	Kazald1	ENSMFAG00000045425	KAZALD1
ENSMUSG00000022744	Cldnd1	ENSMFAG00000041563	CLDND1
ENSMUSG00000022139	Mbnl2	ENSMFAG00000041491	MBNL2
ENSMUSG00000073434	Wdr90	ENSMFAG00000038635	WDR90
ENSMUSG00000038007	Acer2	ENSMFAG00000003867	ACER2
ENSMUSG00000042851	Zc3h6	ENSMFAG00000036963	ZC3H6
ENSMUSG00000060036	Rpl3	ENSMFAG00000034604	
ENSMUSG00000061740	Cyp2d22	ENSMFAG00000035554	
ENSMUSG00000061740	Cyp2d22	ENSMFAG00000042506	
ENSMUSG00000047473	Zfp30	ENSMFAG00000041187	
ENSMUSG00000024410	Rmc1	ENSMFAG00000040371	RMC1
ENSMUSG00000024743	Syt7	ENSMFAG00000043470	SYT7
ENSMUSG00000025212	Sfxn3	ENSMFAG00000035501	SFXN3
ENSMUSG00000002249	Tead3	ENSMFAG00000032267	TEAD3
ENSMUSG00000034673	Pbx2	ENSMFAG00000045367	PBX2
ENSMUSG00000032744	Heyl	ENSMFAG00000045585	HEYL
ENSMUSG00000039952	Dag1	ENSMFAG00000044374	DAG1
ENSMUSG00000035578	Iqcg	ENSMFAG00000034341	
ENSMUSG00000011034	Slc5a1	ENSMFAG00000042201	SLC5A1
ENSMUSG00000028007	Snx7	ENSMFAG00000043320	
ENSMUSG00000031714	Gab1	ENSMFAG00000044011	GAB1
ENSMUSG00000031808	Slc27a1	ENSMFAG00000034655	SLC27A1
ENSMUSG00000035545	Leng8	ENSMFAG00000031963	LENG8
ENSMUSG00000038312	Edem2	ENSMFAG00000002746	
ENSMUSG00000021936	Mapk8	ENSMFAG00000038064	MAPK8
ENSMUSG00000010376	Nedd8	ENSMFAG00000033448	
ENSMUSG00000035168	Tanc1	ENSMFAG00000042358	TANC1
ENSMUSG00000056069	Otulinl	ENSMFAG00000037715	OTULINL
ENSMUSG00000102252	Snrpn	ENSMFAG00000042235	
ENSMUSG00000038291	Snx25	ENSMFAG00000037789	SNX25
ENSMUSG00000024613	Tcof1	ENSMFAG00000041830	TCOF1
ENSMUSG00000026436	Elk4	ENSMFAG00000033410	ELK4
ENSMUSG00000092021	Gbp11	ENSMFAG00000032176	
ENSMUSG00000092021	Gbp11	ENSMFAG00000040216	
ENSMUSG00000073664	Nbeal1	ENSMFAG00000032529	NBEAL1
ENSMUSG00000061665	Cd2ap	ENSMFAG00000042539	CD2AP
ENSMUSG00000002280	Ciao3	ENSMFAG00000041114	CIAO3
ENSMUSG00000021340	Gpld1	ENSMFAG00000045533	GPLD1
ENSMUSG00000022365	Derl1	ENSMFAG00000044615	
ENSMUSG00000020988	L2hgdh	ENSMFAG00000044149	L2HGDH
ENSMUSG00000030760	Acer3	ENSMFAG00000041221	ACER3
ENSMUSG00000038188	Scarf1	ENSMFAG00000032062	SCARF1
ENSMUSG00000027429	Sec23b	ENSMFAG00000041652	
ENSMUSG00000015890	Amdhd1	ENSMFAG00000046264	AMDHD1
ENSMUSG00000024039	Cbs	ENSMFAG00000038794	
ENSMUSG00000031644	Nek1	ENSMFAG00000043975	NEK1
ENSMUSG00000024983	Vti1a	ENSMFAG00000032726	VTI1A
ENSMUSG00000021774	Ube2e1	ENSMFAG00000046106	
ENSMUSG00000031583	Wrn	ENSMFAG00000043428	WRN
ENSMUSG00000020733	Slc9a3r1	ENSMFAG00000043867	
ENSMUSG00000025533	Asl	ENSMFAG00000046143	ASL
ENSMUSG00000019737	Syne4	ENSMFAG00000040369	SYNE4
ENSMUSG00000022191	Drosha	ENSMFAG00000003055	DROSHA
ENSMUSG00000028343	Erp44	ENSMFAG00000036437	
ENSMUSG00000039599	Fam149b	ENSMFAG00000003987	FAM149B1
ENSMUSG00000029554	Mad1l1	ENSMFAG00000045936	MAD1L1
ENSMUSG00000001249	Hpn	ENSMFAG00000041182	HPN
ENSMUSG00000022389	Tef	ENSMFAG00000033476	TEF
ENSMUSG00000027509	Rae1	ENSMFAG00000043344	
ENSMUSG00000001348	Acp5	ENSMFAG00000045308	ACP5
ENSMUSG00000011257	Pabpc4	ENSMFAG00000041481	PABPC4
ENSMUSG00000062949	Atp11c	ENSMFAG00000043019	ATP11C
ENSMUSG00000007872	Id3	ENSMFAG00000041663	ID3
ENSMUSG00000027404	Snrpb	ENSMFAG00000038756	SNRPB
ENSMUSG00000032714	Syde1	ENSMFAG00000037133	SYDE1
ENSMUSG00000020576	Nbas	ENSMFAG00000003823	NBAS
ENSMUSG00000061689	Dlgap4	ENSMFAG00000032148	DLGAP4
ENSMUSG00000020718	Polg2	ENSMFAG00000002805	POLG2
ENSMUSG00000068039	Tcp1	ENSMFAG00000035920	
ENSMUSG00000068039	Tcp1	ENSMFAG00000003456	
ENSMUSG00000068039	Tcp1	ENSMFAG00000037385	
ENSMUSG00000026568	Mpc2	ENSMFAG00000046294	MPC2
ENSMUSG00000024440	Pcdh12	ENSMFAG00000036923	PCDH12
ENSMUSG00000056770	Setd3	ENSMFAG00000003763	SETD3
ENSMUSG00000030894	Tpp1	ENSMFAG00000033375	
ENSMUSG00000020859	Spag9	ENSMFAG00000035882	SPAG9
ENSMUSG00000023031	Cela1	ENSMFAG00000044458	
ENSMUSG00000025575	Cant1	ENSMFAG00000043780	CANT1
ENSMUSG00000022340	Sybu	ENSMFAG00000037775	SYBU
ENSMUSG00000001280	Sp1	ENSMFAG00000045267	SP1
ENSMUSG00000020430	Pes1	ENSMFAG00000044708	PES1
ENSMUSG00000000374	Trappc10	ENSMFAG00000041704	
ENSMUSG00000060591	Ifitm2	ENSMFAG00000033006	
ENSMUSG00000060591	Ifitm2	ENSMFAG00000034640	
ENSMUSG00000005034	Prkacb	ENSMFAG00000044118	PRKACB
ENSMUSG00000022898	Vps26c	ENSMFAG00000041827	VPS26C
ENSMUSG00000037922	Bank1	ENSMFAG00000041462	BANK1
ENSMUSG00000018572	Phf23	ENSMFAG00000032158	PHF23
ENSMUSG00000030079	Ruvbl1	ENSMFAG00000003301	RUVBL1
ENSMUSG00000029404	Arl6ip4	ENSMFAG00000034524	ARL6IP4
ENSMUSG00000020648	Dus4l	ENSMFAG00000003759	DUS4L
ENSMUSG00000016984	Etaa1	ENSMFAG00000039723	ETAA1
ENSMUSG00000063870	Chd4	ENSMFAG00000003188	
ENSMUSG00000079470	Utp14b	ENSMFAG00000032552	UTP14A
ENSMUSG00000021365	Nedd9	ENSMFAG00000042994	NEDD9
ENSMUSG00000011382	Dhdh	ENSMFAG00000036688	
ENSMUSG00000037017	Zscan21	ENSMFAG00000042653	ZSCAN21
ENSMUSG00000032583	Mon1a	ENSMFAG00000043315	MON1A
ENSMUSG00000020166	Cnot2	ENSMFAG00000034373	CNOT2
ENSMUSG00000031984	2810004N23Rik	ENSMFAG00000004049	C1orf131
ENSMUSG00000001036	Epn2	ENSMFAG00000046054	EPN2
ENSMUSG00000030516	Tjp1	ENSMFAG00000037125	TJP1
ENSMUSG00000000740	Rpl13	ENSMFAG00000046109	
ENSMUSG00000024772	Ehd1	ENSMFAG00000032608	EHD1
ENSMUSG00000066877	Nck2	ENSMFAG00000038909	NCK2
ENSMUSG00000028684	Urod	ENSMFAG00000032524	UROD
ENSMUSG00000024078	Ttc27	ENSMFAG00000042155	TTC27
ENSMUSG00000038542	Pcid2	ENSMFAG00000003946	PCID2
ENSMUSG00000021666	Gfm2	ENSMFAG00000039713	GFM2
ENSMUSG00000022051	Bnip3l	ENSMFAG00000003324	
ENSMUSG00000026269	Rnpepl1	ENSMFAG00000038176	RNPEPL1
ENSMUSG00000025280	Polr3a	ENSMFAG00000032218	POLR3A
ENSMUSG00000031570	Plpp5	ENSMFAG00000003982	PLPP5
ENSMUSG00000040658	Dnph1	ENSMFAG00000038043	DNPH1
ENSMUSG00000002797	Ggct	ENSMFAG00000033057	
ENSMUSG00000027593	Raly	ENSMFAG00000033131	RALY
ENSMUSG00000027637	Rab5if	ENSMFAG00000044804	RAB5IF
ENSMUSG00000027869	Hsd3b6	ENSMFAG00000041983	HSD3B1
ENSMUSG00000027869	Hsd3b6	ENSMFAG00000039795	
ENSMUSG00000111692	Gm49373	ENSMFAG00000043889	
ENSMUSG00000022257	Laptm4b	ENSMFAG00000042049	LAPTM4B
ENSMUSG00000024045	Akap8	ENSMFAG00000042432	AKAP8
ENSMUSG00000042699	Dhx9	ENSMFAG00000041152	DHX9
ENSMUSG00000037720	Tmem33	ENSMFAG00000043209	TMEM33
ENSMUSG00000028914	Casp9	ENSMFAG00000044632	CASP9
ENSMUSG00000025036	Sfxn2	ENSMFAG00000045149	SFXN2
ENSMUSG00000078799	Sult2a5	ENSMFAG00000046325	
ENSMUSG00000038736	Nudcd1	ENSMFAG00000043118	NUDCD1
ENSMUSG00000027309	4930402H24Rik	ENSMFAG00000037080	C20orf194
ENSMUSG00000090019	Gimap1	ENSMFAG00000035498	
ENSMUSG00000007655	Cav1	ENSMFAG00000046330	
ENSMUSG00000000782	Tcf7	ENSMFAG00000045000	TCF7
ENSMUSG00000058207	Serpina3k	ENSMFAG00000045243	SERPINA3
ENSMUSG00000022540	Rogdi	ENSMFAG00000003647	ROGDI
ENSMUSG00000025375	Aatk	ENSMFAG00000036002	AATK
